gene_id,T1_FPKM,T2_FPKM,T3_FPKM,T4_FPKM,T5_FPKM,T6_FPKM,T7_FPKM,T8_FPKM,T9_FPKM,T10_FPKM,T11_FPKM,T12_FPKM,T13_FPKM,T14_FPKM,T15_FPKM
RUF5-1,10219.7,6833.03,5147.57,3458.77,1220.49,1123.12,1310.35,1266.21,1242.31,1242.045,1402.28,3505.95,5960.18,8779.75,11633.6
RUF5-2,10242.4,6844.85,5154.27,3449.1,1219.44,1126.84,1312.57,1272.31,1246.96,1234.71,1409.59,3498.95,5993.18,8769.92,11637.3
SCR1,12.961,854.076,998.433,117.278,28.441,632.658,789.349,779.298,233.371,182.348,208.562,265.333,437.618,319.002,387.807
SRG1,366.381,288.696,273.974,560.164,603.578,490.063,421.563,430.047,474.517,372.869,264.955,372.486,362.538,337.418,359.508
TLC1,277.538,265.758,297.026,396.755,542.091,796.579,108.127,120.789,115.875,547.8745,878.044,707.111,380.693,440.072,363.188
YAL001C,328.314,30.691,281.994,185.425,192.987,298.827,296.232,301.632,334.749,305.548,309.516,329.751,299.327,309.402,312.275
YAL002W,225.216,216.452,204.029,178.216,148.734,19.308,17.134,147.489,166.865,153.14350000000002,142.857,143.198,157.252,156.426,167.639
YAL003W,1308.39,1329.06,1548.33,2716.13,2596.04,1816.27,1761.26,1648.57,1444.15,1472.245,479.843,268.531,671.522,773.09,1111.23
YAL004W,2089.27,1425.76,960.362,312.596,121.83,932.996,922.364,777.404,796.286,799.3125,659.591,2017.6,1533.8,1655.12,1915.87
YAL005C,3452.34,2348.0,1633.95,578.21,240.941,1624.46,1578.58,1350.28,1455.64,1476.565,1338.86,3262.11,2484.66,2751.18,3281.14
YAL007C,823.294,821.198,929.741,118.854,115.116,179.363,239.138,253.764,205.228,185.16,116.749,805.491,877.713,86.422,827.735
YAL008W,229.096,198.837,143.338,857.658,559.957,138.5,144.393,146.48,141.783,139.433,234.409,314.234,231.603,254.313,273.824
YAL009W,67.737,629.426,62.484,582.842,575.445,592.057,589.614,545.366,53.529,588.3615,590.763,534.897,686.286,637.377,76.586
YAL010C,356.061,321.335,338.724,262.725,127.348,179.853,212.384,247.359,260.058,150.6595,322.054,252.645,321.336,289.588,296.697
YAL011W,253.201,208.497,238.926,258.361,276.344,232.859,249.243,236.077,243.574,150.6725,189.361,202.489,268.613,222.767,230.195
YAL012W,130.956,208.877,404.087,1222.54,741.234,473.991,372.657,320.334,333.424,333.7955,976.846,598.156,974.859,838.098,889.875
YAL013W,459.145,43.218,47.763,523.196,574.243,436.084,437.579,398.272,394.714,249.8825,430.411,484.526,58.627,543.873,561.427
YAL014C,790.593,729.882,804.963,81.08,661.408,617.795,705.474,705.155,765.347,903.502,855.986,769.535,908.188,907.351,914.048
YAL015C,36.277,380.829,412.175,617.324,43.979,394.539,470.289,498.177,541.223,553.7505,683.363,776.116,399.725,381.314,363.075
YAL016C-A,154.389,129.225,101.571,586.004,624.199,765.578,713.011,690.092,904.535,854.289,126.286,167.213,149.674,161.533,138.995
YAL016C-B,455.649,480.365,378.531,635.186,0.0,389.542,13.69,25.029,262.514,536.708,621.273,923.826,447.963,631.571,993.777
YAL016W,163.598,144.021,113.693,74.182,742.523,101.193,978.932,102.122,104.831,112.6565,135.93,167.33,158.153,167.212,162.931
YAL017W,416.876,327.805,252.198,643.216,816.649,225.449,193.726,211.798,253.132,293.54650000000004,397.494,526.655,370.461,358.454,396.404
YAL018C,605.047,526.489,638.272,481.967,569.008,355.787,376.557,534.141,51.642,136.61700000000002,444.427,432.704,467.595,485.219,599.482
YAL019W,181.037,224.261,329.483,638.102,554.093,289.714,311.865,270.113,216.844,168.2955,585.093,638.019,106.857,989.688,122.112
YAL019W-A,140.218,133.693,138.108,142.133,14.924,160.812,148.534,149.241,128.275,118.2525,111.016,123.053,155.042,104.712,151.526
YAL020C,223.482,183.523,266.819,310.508,259.577,263.354,258.019,257.318,237.396,253.2785,250.816,252.445,225.417,288.354,299.076
YAL021C,449.585,467.312,446.111,596.989,516.587,447.558,417.856,437.682,409.894,449.7845,330.306,396.145,483.943,413.257,422.385
YAL022C,416.391,433.465,516.717,688.827,675.311,681.048,632.225,514.632,529.603,552.756,543.323,449.563,548.592,522.532,461.213
YAL023C,608.788,673.007,750.254,133.587,146.265,141.032,159.873,170.363,145.246,137.036,729.742,621.501,679.983,611.985,565.329
YAL024C,627.945,695.162,854.224,113.807,102.003,929.219,12.055,115.575,116.335,513.402,646.688,463.595,681.853,505.278,433.278
YAL025C,768.184,123.576,286.1,808.738,484.544,103.55,111.709,936.612,686.479,567.6234999999999,10.109,560.516,436.812,432.591,522.568
YAL026C,215.181,229.002,252.564,300.673,216.544,235.406,247.608,238.601,236.784,115.798,166.557,161.448,199.272,168.381,189.043
YAL026C-A,450.655,376.974,432.653,416.752,52.759,610.561,548.094,628.948,45.725,562.1804999999999,604.413,532.627,493.637,458.296,471.054
