Gene_ID	Expression
YBR124W	105.982
YBR125C	66.52
YBR126C	455.925
YBR126W-A	2310.6
YBR126W-B	3437.9
YBR127C	401.534
YBR128C	378.229
YBR129C	763.666
YBR130C	136.971
YBR131C-A	697.215
YBR131W	106.327
YBR132C	265.435
YBR133C	237.019
YBR134W	529.382
YBR135W	189.242
YBR136W	734.752
YBR137W	223.623
YBR138C	225.479
YBR139W	178.055
YBR140C	269.897
YBR141C	162.129
YBR141W-A	523.943
YBR142W	17.492
YBR143C	184.202
YBR144C	153.673
YBR145W	628.897
YBR146W	107.447
YBR147W	126.658
YBR148W	12.765
YBR149W	1201.17
YBR150C	190.761
YBR151W	185.051
YBR152W	179.766
YBR153W	484.575
YBR154C	126.919
YBR155W	339.586
YBR156C	698.618
YBR157C	269.404
YBR158W	212.092
YBR159W	162.075
YBR160W	744.028
YBR161W	411.809
YBR162C	278.95
YBR162W-A	1145.24
YBR163W	259.235
YBR164C	161.377
YBR165W	651.639
YBR166C	561.789
YBR167C	149.25
YBR168W	59.64
YBR169C	593.997
YBR170C	697.081
YBR171W	138.274
YBR172C	246.829
YBR173C	806.916
YBR174C	133.306
YBR175W	245.514
YBR176W	359.704
YBR177C	172.145
YBR178W	39.928
YBR179C	440.526
YBR180W	358.396
YBR181C	1340.96
YBR182C	153.146
YBR182C-A	168.232
YBR183W	638.714
YBR184W	544.127
YBR185C	528.246
YBR186W	745.946
YBR187W	117.398
YBR188C	142.066
YBR189W	1073.09
YBR190W	629.993
YBR191W	1348.94
YBR191W-A	336.344
YBR192W	292.798
YBR193C	693.712
YBR194W	793.853
YBR195C	348.608
YBR196C	1349.28
YBR196C-A	174.982
YBR196C-B	178.874
YBR197C	435.579
YBR198C	396.189
YBR199W	176.385
YBR200W	542.817
YBR200W-A	674.759
YBR201C-A	299.214
YBR201W	72.107
YBR202W	494.971
YBR203W	637.066
YBR204C	673.731
YBR205W	532.063
YBR206W	763.339
YBR207W	121.011
YBR208C	396.202
YBR209W	202.511
YBR210W	920.641
YBR211C	336.107
YBR212W	162.664
YBR213W	21.425
YBR214W	252.882
YBR215W	274.664
YBR216C	461.711
YBR217W	622.396
YBR218C	118.967
YBR219C	166.279
YBR220C	271.016
YBR221C	733.53
YBR221W-A	0
YBR222C	678.084
YBR223C	202.011
YBR223W-A	164.341
YBR224W	784.592
YBR225W	219.153
YBR226C	260.539
YBR227C	482.646
YBR228W	306.581
YBR229C	411.446
YBR230C	4352.65
YBR230W-A	1432.2
YBR231C	760.424
YBR232C	480.863
YBR233W	312.788
YBR233W-A	152.704
