,flux
R_4HBZFm,9.957286019170448e-09
R_DHPSm,0.0
R_DHPTtm,5.5511151231257815e-17
R_DHQS,0.1192126180381615
R_DHQTi,0.1192126180381615
R_CYTDt2,9.871540768305946e-09
R_CYTK1,0.0186137989392442
R_CYTK2,0.2047281585325749
R_DADA,0.00523596918286195
R_DADK,-0.0015570075594040001
R_DIAT,0.00070919169255415
R_DINSt2,9.79213002291993e-09
R_DADNt2,9.863941908369454e-09
R_DIPS,0.0
R_DADPtn,-5.5511151231257815e-17
R_4HBZtm,-9.95728599573198e-09
R_DAGCPT_SC,0.03588313576478725
R_DAGPYP_SC,0.00674995448885915
R_DKMPPD2,0.0073672935238323495
R_DMATT,0.0003454357430104
R_DNMPPA,9.807892458751052e-09
R_DNTPPA,9.807892458425417e-09
R_DOLK,0.0
R_DOLPMMer,0.004052745658615
R_DANNt2,0.0
R_DASYN_SC,0.0082461837255961
R_DASYNm_SC,0.0227201549923825
R_DB4PS,9.952330962369265e-06
R_DBTS,0.0
R_DCDPtn,9.522846511345053e-09
R_DCMPDA,-0.2855402108613737
R_DOLPMTcer,0.00405274565862135
R_DOLPt2er,-0.0040527456586342
R_4HGLSDm,-0.23932623141950948
R_DPCOAK,0.00297106406899145
R_DPCOAKm,9.918328639530752e-09
R_DPGM,0.0
R_DPMVD,0.00103630722903145
R_ECOAH4p,-1.3980783358270854e-07
R_ECOAH5p,-1.4980631192137994e-07
R_DPR,0.0010933056022174
R_4HPRO_LTtm,0.0
R_DPRm,0.0034057560063705
R_ECOAH6p,-1.5980472512465427e-07
R_DRBK,4.534163697625242e-21
R_ECOAH7p,-1.7978294177163623e-07
R_ECOAH8p,-1.9973849171329994e-07
R_DROPPRy,4.97616548118564e-06
R_4HTHRS,0.0
R_DRTPPD,4.976165481185383e-06
R_EHGLAT,0.0
R_EHGLATm,0.0
R_EHGLATp,1.9375310749808622e-08
R_ENO,3.895034204866284
R_EPGALURSe,9.804751414468098e-09
R_EPISTAT_SC,2.312077400332686e-06
R_DTMPK,0.0035181897815306003
R_DTTPt,-0.0035181897815306498
R_DUMPtn,9.252348220911699e-09
R_DURIK1,0.09652968533601285
R_DURIPP,-0.0035678559154059
R_DURIt2,9.288225121094286e-09
R_DUTPDP,7.121405849473418e-06
R_EPISTESTH_SC,2.3120773490364565e-06
R_EPISTESTH_SCe,9.999442602714251e-07
R_EPISTt,1.9563336808164914e-08
R_DXHPScm,3.5068183014164855e-21
R_D_LACDcm,0.0001957946645855
R_EPMGH,0.0
R_4MOPDC,0.035326021172185945
R_ERGSTAT_SC,5.7495189657745445e-06
R_ERGSTESTH_SC,5.749518914550078e-06
R_ERGSTESTH_SCe,9.99944028981398e-07
R_ERGSTGLCT,2.907063679076702e-20
R_D_LACDm,5.418824331224641e-05
R_D_LACt2,-0.057105213123370746
R_D_LACt2m,-0.16393518118307665
R_D_LACtm,0.16398936942638886
R_E4HGLUtm,-9.671506207009628e-09
R_ERGSTt,-0.00015969782871595
R_ERGSTter,0.00016320930533605
R_ERGTETROLter,0.00016320930533605
R_E4HGLUtp,1.9375310744695895e-08
R_E4Ptm,0.03850843061508265
R_ETHAK,9.769084346166649e-09
R_5AOPt2,0.0
R_ETHAPT_SC,9.769191511299624e-09
R_ETHAt,9.769084374777748e-09
R_ETOHt,-1.019506534527974
R_ETOHtm,-0.12883195654648671
R_ECOAH11p,1.9897961127737784e-08
R_EX_ergst_e,0.00015970782815635
R_EX_ergstest_SC_e,0.0
R_EX_13BDglcn_e,0.0
R_EX_etha_e,0.0
R_EX_2hb_e,0.0033835102578839
R_EX_etoh_e,1.019506534527974
R_5AOPtm,-9.474241280393869e-09
R_EX_fe2_e,-2.838649236847743e-17
R_EX_fecost_e,0.0
R_EX_2mbac_e,0.019696459623309952
R_EX_2mbald_e,0.00015653319496255
R_EX_2mbtoh_e,0.1550705421568359
R_EX_2mppal_e,0.00038092665820490005
R_EX_2phetoh_e,0.06421983846369385
R_EX_fecostest_SC_e,0.0
R_EX_fmn_e,0.0
R_EX_3c3hmp_e,1.2155869225907434e-08
R_6PGLter,-0.00033592717681575
R_EX_3mbald_e,4.922932466494808e-06
R_EX_for_e,0.0164409300687491
R_EX_fru_e,0.0
R_EX_3mop_e,5.9231168786946455e-06
R_8AONNt2,0.0
R_EX_4abut_e,0.0021415550527327503
R_EX_fum_e,0.00060497487855195
R_EX_g3pc_e,0.0017133030412858
R_EX_4abz_e,0.0016566209731778
R_AABTN,0.0036106818591327998
R_EX_5aop_e,9.474240854161224e-09
R_EX_g3pi_e,9.999751993992753e-07
R_EX_gal_e,0.0
R_EX_8aonn_e,0.0
R_EX_Nbfortyr_e,0.0058205896004538
R_EX_abt_e,9.786525513680419e-09
R_EX_ac_e,0.0192965685481708
