Gene_ID	Expression
YBR196C	337.711
YBR196C-A	216.485
YBR196C-B	916.874
YBR197C	388.304
YBR198C	353.093
YBR199W	208.109
YBR200W	54.567
YBR200W-A	528.542
YBR201C-A	288.169
YBR201W	580.977
YBR202W	789.696
YBR203W	204.771
YBR204C	601.808
YBR205W	846.758
YBR206W	115.245
YBR207W	888.893
YBR208C	263.152
YBR209W	545.911
YBR210W	955.143
YBR211C	407.999
YBR212W	93.612
YBR213W	880.027
YBR214W	408.343
YBR215W	322.712
YBR216C	340.291
YBR217W	350.008
YBR218C	175.345
YBR219C	186.801
YBR220C	464.235
YBR221C	355.539
YBR221W-A	0
YBR222C	362.278
YBR223C	154.924
YBR223W-A	261.537
YBR224W	261.402
YBR225W	175.783
YBR226C	206.084
YBR227C	420.888
YBR228W	306.866
YBR229C	246.411
YBR230C	891.407
YBR230W-A	462.502
YBR231C	531.062
YBR232C	495.108
YBR233W	421.203
YBR233W-A	178.104
YBR234C	162.386
YBR235W	230.705
YBR236C	696.571
YBR237W	306.587
YBR238C	744.467
YBR239C	143.677
YBR240C	189.35
YBR241C	466.295
YBR242W	716.356
YBR243C	526.364
YBR244W	367.799
YBR245C	34.911
YBR246W	372.923
YBR247C	437.949
YBR248C	135.044
YBR249C	425.653
YBR250W	348.433
YBR251W	106.943
YBR252W	138.956
YBR253W	157.048
YBR254C	535.976
YBR255C-A	244.895
YBR255W	213.993
YBR256C	177.128
YBR257W	406.325
YBR258C	588.142
YBR259W	246.195
YBR260C	318.899
YBR261C	650.401
YBR262C	495.774
YBR263W	133.802
YBR264C	53.483
YBR265W	794.011
YBR266C	35.258
YBR267W	397.552
YBR268W	298.431
YBR269C	282.277
YBR270C	107.845
YBR271W	135.409
YBR272C	425.741
YBR273C	940.563
YBR274W	340.798
YBR275C	241.961
YBR276C	596.918
YBR277C	510.358
YBR278W	912.795
YBR279W	778.064
YBR280C	229.816
YBR281C	58.733
YBR282W	255.519
YBR283C	185.636
YBR284W	846.455
YBR285W	646.212
YBR286W	255.044
YBR287W	141.718
YBR288C	447.285
YBR289W	31.096
YBR290W	134.27
YBR291C	315.456
YBR292C	880.336
YBR293W	385.172
YBR294W	385.684
YBR295W	248.922
YBR296C	217.281
YBR296C-A	130.769
YBR297W	144.223
YBR298C	111.541
YBR298C-A	92.263
YBR299W	789.144
YBR300C	108.044
YBR301W	180.666
YBR302C	207.949
YCL001W	257.877
YCL001W-A	820.743
YCL001W-B	304.455
YCL002C	67.535
YCL004W	173.428
YCL005W	379.177
YCL005W-A	822.495
YCL007C	514.885
YCL008C	263.132
YCL009C	301.402
YCL010C	558.961
YCL011C	147.504
YCL012C	679.217
YCL014W	120.627
YCL016C	373.366
YCL017C	107.401
YCL018W	661.777
YCL019W	229.031
YCL020W	0
YCL021W-A	230.834
YCL022C	928.609
YCL023C	201.323
YCL024W	581.274
YCL025C	277.977
YCL026C-A	588.303
YCL026C-B	291.91
YCL027W	556.197
YCL028W	221.554
YCL029C	654.079
YCL030C	326.9
YCL031C	132.468
YCL032W	684.598
YCL033C	122.309
YCL034W	100.75
YCL035C	1102.61
YCL036W	438.699
YCL037C	596.466
YCL038C	340.825
YCL039W	258.308
YCL040W	359.828
YCL041C	314.724
YCL042W	102.907
YCL043C	372.673
YCL044C	324.822
YCL045C	541.917
YCL046W	524.253
YCL047C	617.336
YCL048W	26.748
YCL048W-A	231.01
YCL049C	57.208
YCL050C	205.575
YCL051W	247.021
YCL052C	102.582
YCL054W	350.813
YCL055W	135.952
YCL056C	175.99
YCL057C-A	1302.7
YCL057W	776.249
YCL058C	726.782
YCL058W-A	616.118
YCL059C	119.1
YCL061C	278.293
YCL063W	333.233
YCL064C	168.697
YCL065W	574.767
YCL066W	139.614
YCL067C	212.087
YCL068C	438.999
YCL069W	25.284
YCL073C	364.038
YCL074W	0
YCL075W	0
YCL076W	0
YCR001W	233.037
YCR002C	166.002
YCR003W	187.439
YCR004C	269.866
YCR005C	210.676
YCR006C	152.936
YCR007C	476.163
YCR008W	689.041
YCR009C	265.308
YCR010C	102.969
YCR011C	41.854
YCR012W	810.753
YCR013C	502.28
YCR014C	358.568
YCR015C	286.675
YCR016W	62.059
YCR017C	658.768
YCR018C	121.948
YCR018C-A	413.636
YCR019W	403.155
YCR020C	786.621
YCR020C-A	166.406
YCR020W-B	310.731
YCR021C	536.905
YCR022C	223.668
YCR023C	394.624
YCR024C	37.966
YCR024C-A	13811.4
YCR024C-B	3027.7
YCR025C	122.718
YCR026C	45.771
YCR027C	683.621
YCR028C	418.933
YCR028C-A	675.499
YCR030C	461.705
YCR031C	2636.41
YCR032W	115.517
YCR033W	239.158
YCR034W	150.175
YCR035C	620.831
YCR036W	922.448
YCR037C	379.496
YCR038C	994.782
YCR038W-A	643.633
YCR039C	212.087
YCR040W	139.507
YCR041W	819.815
YCR042C	299.633
YCR043C	213.247
YCR044C	776.726
YCR045C	122.888
YCR045W-A	174.953
YCR046C	205.196
YCR047C	663.453
YCR047W-A	137.359
YCR048W	126.238
YCR049C	443.985
YCR050C	261.308
YCR051W	108.863
YCR052W	43.031
YCR053W	163.743
YCR054C	162.304
YCR057C	21.821
YCR059C	706.055
YCR060W	129.409
YCR061W	907.756
YCR063W	164.127
YCR064C	67.219
YCR065W	58.468
YCR066W	162.247
YCR067C	282.691
YCR068W	39.127
YCR069W	981.784
YCR071C	234.077
YCR072C	116.642
YCR073C	511.216
YCR073W-A	894.008
YCR075C	310.958
YCR075W-A	188.253
YCR076C	918.247
YCR077C	52.31
YCR079W	421.802
YCR081C-A	773.848
YCR081W	11.103
YCR082W	615.492
YCR083W	210.897
YCR084C	937.382
YCR085W	280.954
YCR086W	728.915
YCR087C-A	126.42
YCR087W	123.512
YCR088W	490.954
YCR089W	111.748
YCR090C	114.485
YCR091W	126.528
YCR092C	150.002
YCR093W	266.777
YCR094W	36.614
YCR095C	39.734
YCR095W-A	112.778
YCR096C	258.052
YCR097W	0
YCR097W-A	736.309
YCR098C	10.882
YCR099C	681.785
YCR100C	31.193
YCR101C	337.623
YCR102C	134.655
YCR102W-A	569.382
YCR104W	0.463468
YCR105W	0
YCR106W	0.138468
YCR107W	407.528
YCR108C	144.912
YDL001W	461.032
YDL002C	117.318
YDL003W	143.709
YDL004W	1311.93
YDL005C	110.286
YDL006W	745.667
YDL007C-A	163.214
YDL007W	343.909
YDL008W	141.538
YDL009C	176.031
YDL010W	146.285
YDL011C	114.226
YDL012C	392.333
YDL013W	28.912
YDL014W	212.238
YDL015C	173.617
YDL016C	31.332
YDL017W	250.871
YDL018C	163.769
YDL019C	333.646
YDL020C	176.387
YDL021W	425.392
YDL022C-A	0
YDL022W	140.761
YDL023C	129.952
YDL024C	519.485
YDL025C	691.046
YDL025W-A	1040.06
YDL026W	716.313
YDL027C	102.522
YDL028C	166.667
YDL029W	157.135
YDL030W	25.013
YDL031W	38.582
YDL032W	135.784
YDL033C	252.986
YDL034W	321.334
YDL035C	466.017
YDL036C	320.894
YDL037C	554.601
YDL039C	906.504
YDL040C	645.619
YDL041W	243.127
YDL042C	259.201
YDL043C	594.298
YDL044C	617.163
YDL045C	856.762
YDL045W-A	458.473
YDL046W	471.497
YDL047W	103.599
YDL048C	291.308
YDL049C	923.854
YDL050C	193.741
YDL051W	201.11
YDL052C	84.222
YDL053C	245.884
YDL054C	875.526
YDL055C	814.196
YDL056W	233.245
YDL057W	332.761
YDL058W	204.937
YDL059C	153.387
YDL060W	402.554
YDL061C	9880.79
YDL062W	18.49
YDL063C	265.756
YDL064W	192.15
YDL065C	169.081
YDL066W	248.42
YDL067C	9033.35
YDL068W	484.125
YDL069C	45.681
YDL070W	519.426
