,wt_1,wt_2,wt_3,wt_4,wt_5,wt_6,wt_7,wt_8,wt_9,wt_10,wt_11,wt_12,arp5_1,arp5_2,arp5_3,arp5_4,arp5_5,arp5_6,arp5_7,arp5_8,arp5_9,arp5_10,arp5_11,arp5_12
YAL020C,243.6798947,224.2898681,200.72287,179.8994068,172.3759823,184.1141765,189.9727154,203.4935796,244.6469055,203.9140797,210.7406478,203.3465849,189.5679444,238.6287846,244.917625,227.1561753,231.5703898,228.0734626,195.6521615,232.9734027,264.3312838,268.9780152,264.5739605,247.731015
YAL018C,205.6659496,192.7061488,177.6675985,171.6781243,184.8017984,182.7961335,158.7958474,172.9887376,204.539682,185.4853856,206.1688357,182.0342836,281.57659,325.7764773,284.1646309,328.1337163,251.6447323,258.7246071,270.1494028,309.4982533,324.3216507,319.6974377,254.9053382,306.5957462
YAL015C,128.303505,96.23460484,87.00811481,73.2518574,98.08289821,117.4644656,146.2706524,132.5114888,144.7885086,154.3679264,156.8837086,112.7924004,103.2649481,126.7118517,118.2926634,116.0625008,120.0799502,106.4664731,125.9249472,142.484175,121.691165,121.763137,117.0096177,142.737669
YAL014C,225.9851293,203.5151813,200.4729462,195.6025191,233.3412772,215.4426778,250.6558513,255.2901777,270.6518216,257.8418809,215.6866246,235.9407861,214.684923,217.9659909,221.1843881,206.189217,228.7647379,209.1795706,263.3670654,267.3958467,264.3560524,248.9203334,195.7894242,239.8768658
YAL010C,187.5301596,147.4598148,144.5133201,115.0477199,124.0454359,132.3068012,167.6179743,162.118266,182.7768299,199.1003212,159.6867702,152.442985,128.2282335,165.3606031,149.8415978,127.7171977,130.3482994,127.5511147,155.8392285,170.677708,174.7547413,148.8994936,168.4972726,124.9054033
YAL007C,252.9736129,249.1409962,252.4555786,221.8996336,237.872937,258.7692056,259.3898389,266.4182909,243.2616928,262.8080254,245.5182722,229.3781711,210.0789966,209.8496324,225.478134,241.8915944,210.6260312,231.2604199,279.2416072,288.0797924,295.355525,274.8167559,250.56783,237.0307032
YAL005C,921.6824024,866.6503172,718.3094536,800.124592,978.552311,985.4386124,1089.735495,1158.971935,1127.665124,1053.033872,905.6433928,1067.973822,996.2422252,984.1631814,981.9897783,1115.854505,886.7000025,887.4094865,1046.344587,1045.954378,1062.327835,1112.179852,1022.460499,1210.340362
YAR002C-A,177.5534225,182.3247544,127.9305002,119.5464328,137.568563,130.6722362,184.2093986,161.3817335,180.9748886,181.3678822,150.296535,124.0132806,128.0281496,135.9595449,150.5831004,119.2445355,108.6585819,131.7336404,134.1424529,167.6738769,146.0041582,167.1651435,155.4623593,144.624932
YAR007C,182.2291243,204.0415828,149.6256239,137.7558301,130.2908815,124.5446223,204.0193275,213.7421479,182.600536,175.91606,167.2381318,155.5852516,166.9982192,164.5998462,150.6461063,172.0774809,138.9729163,173.0421846,182.0165692,182.7726764,211.5311052,192.005249,158.5557523,197.1947373
YAR014C,315.5722501,302.7400852,267.9344473,256.7303381,336.3530795,297.2313602,317.6130626,311.8846643,324.0034038,320.2226949,294.0604511,278.0114368,486.9414298,509.3150399,521.2737903,489.1979347,534.539018,563.3412516,576.8005307,644.1501068,521.7670027,554.6478661,428.4386297,474.6871027
YAR018C,94.48353895,120.9850442,112.6490311,85.5313631,71.21243311,64.64866404,104.6046139,97.13885338,113.1366769,124.4673098,89.34721647,89.8308004,99.49434824,98.62635707,104.6334901,97.53325,72.87667963,87.84493687,105.6521483,105.4367868,133.7126782,100.6722388,108.3341642,89.62023365
YAR019C,211.2971062,223.6118338,200.0652941,152.9331477,212.0405887,171.2511339,244.3655451,221.4812433,254.2050712,249.4435084,232.1739994,215.6722502,251.584039,270.5991072,245.6463922,272.2383512,231.2486442,230.4453448,241.6036279,267.9517122,283.3872454,286.3519364,247.2415854,267.2381124
YAR023C,196.5830757,179.8096235,179.7923286,132.5435199,142.3554089,155.6119818,219.5031269,226.7894694,253.0418981,237.2194367,213.9383614,196.81942,108.4499359,124.7622255,134.1112501,118.4411201,134.0687702,150.9664185,142.7773862,171.9866158,166.2451071,141.8218822,137.6255375,176.6584531
YAL062W,129.1131347,150.0387986,145.1227122,131.8056318,102.4517272,92.66439074,121.044543,138.6819737,141.3588268,134.0539692,192.8847065,174.8757271,229.3196554,249.7454351,248.6644798,216.7876462,119.6615324,130.382668,136.0768398,151.5991343,196.5662734,178.3878276,216.5139558,203.8450185
YAL061W,544.5549991,479.9229168,448.9470387,412.1152695,427.0688754,503.0681274,455.0988555,521.597145,505.3512033,533.1850656,561.6331646,544.5526828,811.652397,772.1830453,872.2909862,873.603231,627.3786943,655.5750246,881.4225597,987.7166179,934.725455,879.9124678,1008.201175,917.1049044
