,wt_1,wt_2,wt_3,wt_4,wt_5,wt_6,wt_7,wt_8,wt_9,wt_10,wt_11,wt_12,arp5_1,arp5_2,arp5_3,arp5_4,arp5_5,arp5_6,arp5_7,arp5_8,arp5_9,arp5_10,arp5_11,arp5_12
YMR228W,64.3030969,62.74963221,61.50661772,56.66881191,53.29923556,41.44097524,46.24579657,39.93194719,50.37927036,55.7256133,69.62701286,64.27406967,62.07210896,35.21621564,64.72982816,56.00070751,61.77937566,59.12038223,56.90232982,63.32095949,70.90799624,61.94083488,55.76080044,64.53620985
YMR230W,282.8782074,312.0893253,306.8074324,350.4306272,330.7159942,321.9500975,289.5866641,259.1044181,236.8507452,255.9433817,226.0042351,280.7027845,242.7377299,309.3403859,238.4459378,258.0546307,260.4092662,274.809368,227.9296535,205.8729999,233.1781978,225.6668322,228.8959288,279.7019097
YMR231W,253.9099807,260.1878332,291.5592012,278.3220762,307.4892419,304.5900987,284.6728375,246.8512622,275.6386481,285.5486312,246.6146109,278.1984768,266.0881827,299.24437,249.5339521,257.9444816,266.8670175,276.5157333,253.5998715,262.8430836,262.6995876,257.5213296,189.2825779,219.9744314
YMR233W,52.83562178,40.10201857,76.61347329,66.07934969,88.27674935,79.75649063,67.86302068,73.65609811,85.88233222,78.30802394,49.76545934,67.48708194,138.0941546,127.688762,129.9094156,122.467437,130.4446667,100.1713511,110.4368484,96.01706983,111.8359104,124.7641159,129.2761338,104.2333461
YMR234W,35.79244743,37.68868003,25.5696407,30.76215166,28.99463745,34.96587152,27.52868615,33.8923325,40.27273149,39.46326331,33.16729471,33.42248877,30.76558989,36.02473818,52.49144312,47.76006139,43.0368597,31.75908952,33.91505266,28.04860345,30.43124601,33.92782919,40.01084342,34.49417925
YMR236W,279.3471461,283.2504292,251.3617448,263.8401714,327.3044187,286.971042,277.9453598,284.3684346,252.0130303,268.049228,222.5942739,270.5077681,232.4383465,280.1586769,220.4875365,226.3322514,285.6165434,257.2540569,264.348693,279.8134992,258.8280306,248.6868165,218.6702052,261.0452173
YMR237W,268.1869132,300.6721752,261.2288497,312.4640882,316.3155386,317.4804369,305.9278328,316.1058238,274.7118688,259.1455454,267.8643918,275.4200673,311.7289128,287.8304017,315.6821492,276.1949733,295.0887541,286.9632689,297.6202507,337.8641777,268.3603183,274.2421518,247.2549479,291.3276687
YMR238W,96.2282399,100.7469941,117.1829185,108.4166589,77.24425581,73.48293767,84.50641619,86.72778515,75.62659437,82.95564516,88.00819611,97.16637159,104.9989524,111.4086353,90.83002208,94.77935914,107.7015348,87.86148431,85.99779887,78.22453355,97.53689746,101.5061646,113.5993118,109.3403507
YMR241W,492.9677812,525.280527,681.5970882,622.0823585,759.7138505,787.4788891,666.0018956,668.4463636,719.6871431,742.9771204,609.6924571,607.0666211,872.0123043,848.9613289,815.1452638,846.1891619,853.1294679,886.3659645,823.634971,779.9719489,889.695836,805.2949493,886.0765896,926.5374788
YMR246W,726.0818672,786.3220411,767.0082928,754.472303,501.2783053,548.5029641,484.0427966,499.8995394,438.4511291,442.7970731,637.1743183,627.5289175,596.1001168,550.448264,495.4817095,509.304012,424.2657026,459.523682,336.5222989,343.8685744,563.8653939,561.2068626,585.8974042,590.8381825
YMR250W,152.3103639,166.9799741,151.9543122,131.2477365,71.57443837,85.34417789,174.3315035,177.1401276,226.5839686,202.0318091,202.1830007,186.8977705,192.5643041,167.5722439,212.9004005,227.9015044,199.6357001,154.8240155,279.8549238,264.9227986,229.9221677,245.4173725,232.8844085,216.1528823
YMR251W-A,1634.42587,1699.203585,1655.059617,1567.162524,1392.521699,1466.122763,1450.473745,1463.52589,1499.135045,1507.563018,1596.673356,1580.494777,1426.906805,1469.456207,1443.35133,1613.387832,1538.125885,1504.24325,1463.109331,1510.343261,1392.899725,1518.251924,1645.178208,1738.642977
YMR255W,321.3256715,321.3680132,364.7797018,333.6606834,315.2700011,309.4874866,364.9112663,352.3869404,371.5306335,343.0567151,311.8307796,328.601988,209.4330812,224.0854523,226.4790136,213.6247636,227.9525012,243.6502834,238.6075768,231.8449457,227.8723329,218.2834736,223.2630627,260.8645576
YMR262W,228.6307292,266.7995639,221.8901194,218.5821974,231.4756489,239.5343174,275.4920182,279.1326377,316.5374903,336.7442774,290.323466,307.9322407,346.2868265,328.7053107,370.2258968,379.9462615,363.7610458,324.5562749,446.6969472,464.3419143,357.0058345,395.4276572,367.162226,401.5856492
YMR263W,140.024328,125.4019123,120.015342,130.4483597,134.5940348,164.5919441,163.8581578,151.395782,205.9027049,192.0496224,172.2112598,165.5325527,115.9217061,104.4704205,154.2889775,160.0251919,133.5041896,137.8121619,103.1777397,159.4148212,134.6220762,120.8459487,143.085074,138.0313899
YMR264W,179.3890731,193.5206013,181.8600072,163.645688,162.7396584,175.1974749,189.1257049,187.9985077,192.7229955,194.1750206,213.9272345,193.7992699,196.8941752,148.980937,217.5567026,201.0032008,191.6585832,193.1716077,175.5966193,202.0577677,197.1399683,197.0995137,212.8697751,178.914901
YMR266W,654.9806573,679.5322036,728.8805534,780.1798344,776.9638289,796.105414,756.1447334,742.5367569,707.3985451,712.8455789,657.001954,676.4297207,937.8261546,922.822577,894.9485375,1018.577431,951.7973377,1013.402852,998.6529117,978.7514193,909.9779727,930.6789804,924.9475097,949.8759176
YMR267W,52.36194496,38.47463035,46.68982911,50.62196024,46.93275537,39.20382189,50.1132651,52.96108019,66.31638231,57.98943133,49.71859968,53.07085925,69.47962733,77.67203593,70.95195313,70.87049279,69.11052453,74.91015093,57.3217639,71.47506235,67.27544346,83.12047298,82.36316729,71.73143429
YMR269W,55.59937527,61.38392652,67.1071208,52.97562498,77.09552299,68.62232425,82.61806236,74.29975981,77.35996625,63.37052281,69.3201441,66.75202061,54.25584406,64.19593212,73.59150131,68.12684511,60.13933604,68.18407261,75.987187,70.05665542,70.57288772,67.2197212,73.34635059,76.01824999
YMR276W,178.5763588,180.6320429,142.1886005,161.0958686,196.3862722,161.8212164,211.5543343,230.6855293,241.0426796,219.3953822,193.9304508,195.7533659,249.5690375,230.954668,239.0900537,228.0147933,238.2214549,251.3455701,264.03757,230.6482779,224.1344031,247.8568423,236.3816516,278.8650105
YMR277W,127.3256276,131.6975066,108.5367247,114.6557972,112.5317173,118.7181609,167.2499754,159.0240257,181.6957309,146.6678724,122.4414503,128.5786134,179.1037931,179.9722005,198.5544877,159.2617607,157.6263091,155.5330419,155.2606002,177.372965,158.3703129,189.4379224,168.2842018,178.2668965
YMR278W,42.92511395,46.99198809,41.02404476,48.1465303,26.0493258,36.56850531,53.29381932,70.25174137,73.40713431,51.80982208,55.61462095,49.65333727,84.8232472,96.19733904,77.20876399,75.42380623,64.04172384,74.28636092,77.19133438,67.20235478,87.53564317,78.56211883,79.7966595,85.48117466
YMR281W,393.7223613,429.1969873,369.3060443,364.6034613,364.7651767,380.4801396,382.6180569,410.6591384,413.8004732,401.3501441,419.9711218,445.8002729,282.4894987,286.0857968,277.5281372,293.1809436,256.4138736,233.2596596,304.1912577,305.2537682,357.6801717,334.3172464,298.1320608,333.8100009
YMR284W,236.5351516,215.4505886,206.5446296,179.1602442,174.8602906,193.4982259,229.0160753,219.5386773,283.2359484,262.6272838,257.0563452,233.8385899,260.787253,241.7215017,260.4536882,246.6015654,177.6488596,206.3624332,185.0016515,249.6105094,261.293238,225.8267792,321.3472506,312.2403119
YMR286W,145.4282223,144.7444564,115.0207906,123.9321541,126.4665683,132.2915197,129.476876,119.7993622,136.5162209,143.5784461,136.8706182,130.4528496,163.8060495,159.7396227,185.3685059,176.9780605,199.9934546,177.2094668,192.073698,182.7727162,140.6190342,156.5290423,186.7869909,160.8042007
YMR288W,102.2178396,116.6154401,96.83237106,85.24575233,75.2344082,79.67193207,81.33961341,74.26492751,115.4965757,71.97697878,115.2385638,119.936946,114.649587,117.5361521,139.7878927,136.2774927,103.3115162,120.9786844,106.1269282,110.3098952,106.251621,110.9458178,109.7799362,130.5485084
YMR289W,95.98683709,95.71127188,80.07091281,66.84591222,53.24244842,51.07179452,70.91857407,71.50731016,94.00948466,91.49250719,110.4876238,81.17267832,105.7648323,90.48807194,126.1669591,97.10173954,107.6769737,101.3859119,97.83604764,83.44724927,121.3657677,105.8006064,107.9261328,116.2444445
YMR291W,629.340161,609.4111525,611.8229364,650.489969,585.7174517,571.1045211,540.3628385,574.6294275,461.3672622,473.1492136,597.9517467,630.2515597,646.1625965,642.8160509,619.690885,682.077555,662.1240508,601.8507517,652.4779456,596.5607626,637.9100302,636.9232779,626.398577,654.0412078
YMR292W,143.0525592,151.4108842,148.4601089,142.5550898,128.8947998,136.3173709,119.1080452,129.8999095,147.2952804,128.1756499,154.9553514,138.8555966,146.1394739,121.7741047,143.3484752,155.5478713,139.8682787,118.8612906,122.6127962,139.4593386,167.2530586,162.7106739,153.3383168,132.8731428
YMR294W,81.53014614,83.4215325,58.084979,52.70718162,60.04184463,63.25670025,82.61808089,89.88872379,114.3432202,92.15024057,92.11946627,85.71281168,56.35940569,62.05387844,77.18762212,44.41927224,68.11191295,53.52879812,60.59110456,72.98406699,64.47327749,75.64938422,72.58507379,71.09584784
YMR297W,695.8683286,725.6351334,617.6905093,709.9212855,607.8276737,600.9375879,621.0223705,629.0931765,699.5055433,645.6504713,682.9997102,620.6118612,537.4025645,534.1258633,598.5736761,576.1347717,528.3394081,595.418806,682.2778109,750.3589164,545.4605823,631.7166231,606.4750854,657.6727728
YMR298W,171.1006014,185.9137511,164.4754109,126.3280605,140.7046892,143.9661394,162.4023171,165.616342,203.4797026,194.9090028,180.9400683,174.9640568,119.9998351,108.871961,145.054181,129.2342084,121.2100826,110.9232505,132.9444121,135.4549766,139.0519766,119.9702058,109.0899741,162.4795101
YMR304W,572.4332737,629.2601928,484.9698372,452.1661141,224.2881312,262.8477009,278.4899199,258.1595891,319.6508782,318.7830302,547.0815326,561.3072427,841.9804407,875.2249285,665.9394231,808.5871322,451.5876082,414.3916737,345.7026645,343.681894,870.3525912,840.1442156,977.0109754,925.9144244
YMR307W,424.2153986,442.0129997,442.8591191,431.4121752,514.5965311,483.4861221,489.9842023,505.4201136,484.4897632,454.1891862,388.76903,417.07116,695.66265,707.4551979,699.1369233,702.3358413,784.344987,817.4794971,686.3240865,695.0051422,705.5436408,693.8521255,779.3380016,690.8396943
YMR312W,201.2880666,151.3686304,158.6391381,178.2103786,281.1299041,256.8056889,253.1519805,262.2111219,237.4529572,245.9938153,210.4388213,191.5341734,133.3298073,168.6075662,161.80615,153.8211093,168.8412093,144.5452487,152.8595039,154.8890769,154.5279911,173.1046851,141.8550648,136.9437391
YMR314W,630.1442303,608.1790582,646.8703642,612.4164274,666.7378745,605.7384135,558.1458003,597.5201404,619.6955406,702.4517595,690.6798435,616.0795221,687.193041,663.678741,793.7262958,608.1969432,565.0402417,595.7115535,689.134723,741.5870727,678.3465434,643.2855166,606.6868875,639.7062991
YMR315W,430.8459914,421.1399987,402.3074002,386.6194,358.4693058,365.8618988,394.7475929,410.3272886,407.7642405,375.0938311,436.6659581,458.6745057,211.5630576,263.4253296,294.3640217,298.3962285,219.9455234,227.8483169,239.197446,269.3927402,255.1389577,262.8561984,275.48125,273.8915867
YMR316W,544.0018844,549.8371345,527.2643458,557.075162,561.3721868,523.1677275,539.1438317,561.9418135,528.8153269,489.3908888,626.0528755,622.5375916,699.2194758,710.5534248,629.0700119,690.8864569,593.1875198,622.3467395,570.5298894,530.9911803,675.1130175,619.455215,749.9649169,711.6566895
YMR320W,626.3386661,641.6848482,602.4338245,581.148157,712.7769416,724.9561586,703.0028137,711.6377309,704.1835578,720.4911277,734.0833687,788.3510264,1190.122214,1159.664314,1103.653967,1087.092494,1133.303331,1099.087168,1110.308933,1141.585196,1181.245844,1183.694216,1246.20448,1136.826345
YNL331C,143.9505782,138.2535689,98.82132926,110.7279406,120.5363539,154.9878138,213.7407609,172.1047117,183.6568716,237.7982381,182.2307721,192.3665023,227.3699513,213.6620311,213.2633187,230.6779414,213.1710268,208.6099897,232.5039264,232.5125903,196.5637512,226.8383033,200.0071982,166.8838801
YNL330C,251.0143678,251.9929366,249.559446,231.7953124,206.8135635,235.4741665,212.9374644,241.2864669,246.0602092,227.2437983,269.2882927,264.9769485,202.8470273,206.8616822,243.4498186,195.2113813,202.2198682,192.4164282,222.2141103,228.6473641,235.3284868,212.1109786,225.8204715,189.9922589
YNL329C,414.5945465,385.3910919,326.0648142,365.0396696,359.5644528,405.7626617,363.395324,380.2464879,408.4868143,370.6522898,419.8486408,429.0949694,275.4178264,317.6101216,339.3415343,339.8892988,310.3023961,336.8061001,284.1914985,289.8119461,300.4228929,321.7387553,307.4834755,301.2139583
YNL328C,382.1907572,347.4071083,760.0221201,766.076789,685.6647044,662.2376602,363.7481847,397.8392456,413.7745345,384.5358362,378.8350473,443.8111681,488.5548722,442.5380243,409.2544009,455.7727665,478.5932128,408.3377564,421.1719329,408.0787136,494.2145753,499.643722,527.1000017,497.0608426
YNL326C,96.14495384,75.21838506,67.42287851,76.98474634,68.12183609,95.56292192,101.7656798,121.6813728,122.1293209,137.7940285,99.37867953,100.8881426,73.75254774,77.58247912,87.45319619,76.82827159,66.17135454,75.13596015,88.75202193,96.72857599,89.46824521,91.00018546,61.40971643,83.37748891
YNL325C,151.4838572,156.5766434,146.2257981,126.6608122,146.6441766,137.5912126,181.7324225,163.1317046,189.1800488,193.3166126,175.0319962,181.0199823,128.5641156,158.234571,191.2453664,161.361778,181.232442,156.1478262,173.3024721,182.3448994,168.4337571,164.0944948,157.082977,143.602951
YNL322C,628.1542028,580.9889241,489.7711033,597.4218662,632.014353,643.4568242,679.0387979,649.4121,652.4599797,631.1144484,667.0117178,698.4627988,638.8787722,692.5662132,714.9421872,668.0568281,669.4572882,627.032204,741.7184821,736.6641608,660.5912376,637.2821511,542.2007564,589.0084117
YNL316C,94.86329733,108.3998422,95.74482992,71.14218413,86.52289178,73.51613517,132.7671199,93.98380443,108.6258858,105.4426294,102.5326674,103.1405996,78.68183507,93.43908076,105.4727566,83.37490738,87.50300528,92.79946584,71.76057089,86.13224701,114.0759927,105.499382,101.2005211,81.01659822
YNL315C,191.5257097,200.1882828,150.6634031,141.5804056,171.0896485,125.1014221,181.2321521,168.4152863,202.7881802,193.6742013,210.1641963,183.6570314,259.9109747,297.5646216,280.3376052,317.0429052,319.0107905,274.7108614,301.7339882,316.5165118,262.5286714,280.9397952,274.5938612,307.3927585
YNL313C,215.2580174,224.9241258,184.694852,207.0089837,229.0466733,163.5318352,227.7587412,195.8989621,192.4899896,212.9468806,188.3210723,164.8998963,128.6597839,128.1835131,176.8686895,154.2309455,139.9495358,164.5581664,151.1787617,164.0825842,148.1491688,163.7876015,150.4894748,191.6799266
YNL311C,248.117037,274.3920133,264.5077732,269.5813077,272.2851288,237.7866266,291.8137917,277.4586631,278.0458671,270.738765,258.9877976,241.2196908,279.5646945,291.0752279,295.1800763,282.7699737,323.4634426,332.5669204,318.2889199,302.0581076,307.7995679,288.7256444,264.8182929,333.7099249
YNL310C,208.9860482,194.6580133,192.187012,204.9717042,202.8401364,199.9490591,223.9976967,187.2050272,207.6644997,202.9622159,208.2680927,200.6307345,244.0956053,245.4420205,257.6731684,268.1626335,251.3353919,203.9174171,227.1600813,225.8157996,223.892137,236.0030403,274.9837553,260.305642
YNL308C,105.8869325,115.4537393,104.0501601,100.8627773,133.4678954,127.9881833,122.6163562,119.7211597,94.04810248,122.1804243,108.650685,94.98035596,56.81830085,61.87623903,90.273906,68.2832597,62.5114795,76.33900776,79.56216357,80.21324606,88.69745358,68.54611506,77.30408578,73.39133803
YNL307C,717.4192185,719.6573947,663.2497108,710.8848011,782.559646,760.8058535,800.3690621,867.0498609,812.7815553,845.3475011,723.5721918,757.8038765,541.4817405,593.7039232,567.4734859,516.4258971,602.1751558,651.2273278,595.8269039,659.5059439,481.503955,580.752464,554.4249622,585.7548054
YNL305C,704.2592903,642.2259121,631.2416734,655.8140303,675.5395181,665.3247581,704.7525723,625.6917547,720.4052417,681.1258703,698.9909555,693.0326534,536.0634823,561.810725,618.1490857,607.0404309,583.1714991,601.788381,617.9537613,589.67594,565.5494506,586.5293412,577.7481774,605.5890438
YNL302C,1258.570009,1185.592814,1204.875563,1145.569303,1216.02897,1192.586259,1118.642458,1174.154976,1164.588993,1174.454432,1250.475269,1213.756426,1351.271875,1310.228774,1325.920227,1283.690489,1404.649341,1405.947014,1319.440065,1314.209531,1325.263892,1355.400145,1308.671716,1245.588583
YNL301C,182.2444374,143.7275985,160.4843104,188.9456733,210.7321667,181.1369943,235.8068613,223.2364518,173.969004,188.7974884,180.2050706,170.1191099,124.9717071,143.3539677,142.162256,128.5018663,130.0288883,124.9490147,121.3097814,154.3309034,132.9425989,151.0043257,130.5303498,124.6275418
YNL294C,148.2054557,143.6217711,114.2832072,121.4575391,110.1052141,100.3699062,134.3694649,118.0338703,163.566964,136.6367664,157.0351379,125.9999005,283.3143308,282.041845,271.1697784,277.2536584,255.344638,251.8587264,222.0260928,230.7325765,230.5162481,230.8163982,251.6584298,264.6232546
YNL291C,122.3713496,145.2863603,103.8839677,94.8623626,121.198708,107.2525003,144.3868372,149.6894342,129.5995873,109.2055985,120.9771014,138.9949221,186.1345917,171.4500247,212.6874679,176.1583666,176.9108833,162.0784348,149.3681801,174.7007171,165.3371286,160.318946,166.1161377,142.8394752
YNL283C,477.1242599,484.2327442,422.9614285,436.9775673,566.2480921,521.779684,599.1480816,620.3760454,601.4144885,524.019262,529.6816051,522.0221727,564.0509435,583.4474835,596.4003238,591.1950213,639.4379355,677.2115705,684.8385253,671.3802492,667.7126065,622.1191184,645.6335909,586.7753402
YNL280C,328.2477455,363.2094075,331.168174,299.1626446,353.2319053,383.4587855,444.6063505,452.1051205,424.9456879,431.48309,395.1307092,338.9058947,472.2550627,511.6087284,487.8338205,509.3790484,522.5098526,514.2991167,470.7087943,437.5184615,474.0088063,463.6214633,459.0381591,500.4564918
YNL276C,80.87477336,88.79857859,92.008848,79.2498294,60.77364057,66.49194487,65.28695525,65.21454957,59.26533198,73.51912387,93.86294092,75.16072066,143.8126139,126.6663359,98.68221924,114.7064485,88.27088797,96.11701794,123.4906515,129.319356,100.9279745,136.0041004,145.7170544,126.7638818
YNL274C,183.8068272,187.386174,183.560812,179.5539036,111.6690685,116.927043,152.9808963,130.4757913,151.4644731,165.5904286,195.783888,181.0778419,178.438292,161.1931428,161.2810252,169.8176483,149.1863762,141.7993113,101.4076204,104.0147605,163.0754361,202.6525984,172.8985808,188.1667257
YNL272C,91.58664651,117.6346095,73.69448218,94.18721309,70.98044589,44.26860859,73.16890445,50.59000231,71.88712515,70.278723,86.92157207,94.05847758,152.7428334,132.3170264,133.3003929,183.290085,140.8889407,173.4528485,145.0185326,138.0125656,136.9266345,162.2928693,170.4513925,158.6257416
YNL270C,569.7715436,556.2509848,619.0269181,644.3649862,682.4587834,678.835107,587.5110168,584.2412701,522.7198035,469.4922452,561.8425978,551.2231597,724.8123062,770.562401,707.2091561,672.771586,685.0956294,675.3082066,634.8108346,568.2142702,713.420874,711.9216801,720.092701,709.4383304
YNL265C,79.9728044,64.87707712,81.40336719,70.9744223,76.18097669,71.41630839,69.17108869,78.05878623,70.732688,72.11609872,73.3804075,80.91103348,114.5403993,124.1459543,108.2949037,82.75732886,89.9752199,110.0920557,90.64583824,103.877257,97.53058457,92.59758417,95.92815612,100.7349359
YNL264C,68.62903991,66.74607429,66.6031717,62.10584911,54.44914875,55.20519632,55.11415204,45.07659243,61.28989147,61.11195851,68.6346576,70.99316131,79.66689493,73.35769928,62.46972044,70.51392118,68.94956315,66.46240758,63.03629557,57.50623696,63.1157264,65.73786862,71.25438721,63.05577785
YNL263C,182.1979849,174.1249136,167.8510358,173.9316462,165.3387806,161.9478405,141.4409014,146.2014931,138.8290691,128.2061958,174.6321233,134.7578131,170.4024547,147.3150712,151.208462,164.7007623,181.6493448,167.4887861,162.9200209,123.922384,144.1617669,177.0639001,175.6036638,152.8062736
YNL259C,97.85358127,98.72437326,80.30630549,74.65889249,99.0105424,88.11552187,88.50772037,92.9818072,85.05556457,86.74583076,99.30665246,111.9306104,156.2809821,101.9996751,137.4916303,134.2712543,126.8228777,157.6962632,115.4829167,137.1253395,132.8287688,133.0486163,140.093596,150.1730053
YNL258C,127.1976123,153.6944154,126.0607039,130.0800138,165.0478903,151.6566987,147.5966841,149.1947434,177.47967,148.4982508,142.8205285,150.7945584,164.9467248,163.6940287,188.3495389,130.0563006,174.7848681,165.2389687,168.1502164,149.3141424,174.7744047,175.3533776,149.928167,163.9931854
YNL255C,209.4907396,221.4178091,220.384687,259.3362465,342.1414084,280.3927269,237.9178993,254.0683574,242.6545047,243.7524603,214.1829258,197.2888068,171.9878974,181.5525258,177.567423,153.2452877,203.020262,225.2175421,192.1164064,167.4478743,142.0219892,193.4476863,160.5368927,154.8348196
YNL254C,178.6155712,195.2796859,158.8698301,186.9371745,272.2197584,271.9805921,257.969014,235.6579087,255.9102235,263.1223966,227.7159677,212.7138281,173.9407849,171.4445246,165.7676178,155.313138,178.8221441,170.5692112,177.0259768,163.7730059,169.9582134,177.6767165,133.5861025,146.5673346
YNL252C,97.62695266,69.21435684,98.19235903,97.73296555,139.0959839,124.2560182,124.3595075,107.1496861,131.5712374,136.5284936,107.6760335,107.8642928,110.3619054,101.6833543,117.6508362,99.33581863,106.4261276,103.9782483,90.63356782,116.3033625,102.7844165,102.7666595,107.1538759,105.7320107
YNL251C,633.9088441,593.5220975,559.1461005,609.924791,724.0852057,700.1237627,692.9352525,693.3971745,683.5972367,624.5778895,637.2848191,672.562026,659.8070715,654.6774453,673.6524959,688.8119992,720.6669241,759.912782,661.8244887,667.9594892,643.4818443,686.1729045,533.02898,676.8208772
YNL249C,67.67519734,79.77024944,55.25878571,67.35769315,65.506403,40.13898858,69.88801464,59.18065908,58.45209791,72.37310071,64.35722455,70.90368475,81.41208278,99.57844773,96.83416279,82.85512689,67.89601998,79.82127484,63.90928461,61.91168827,78.94838276,86.3366441,76.60900629,71.22977184
YNL248C,73.68117644,85.40532895,69.80653338,94.16168351,76.42961382,56.39109051,47.85683109,55.80904103,52.40500097,56.22228867,72.9648076,70.18937313,88.96561118,81.39491226,91.77253518,95.27000777,97.29974282,115.6316903,89.71755836,71.8057378,80.31490661,80.04282563,82.84042814,84.73871434
YNL245C,184.3743076,201.3219004,211.3526504,237.2234847,253.2178313,235.1792659,192.30282,181.9492546,207.8635701,198.567329,179.6322573,168.4376478,208.8536601,178.3480207,192.0979936,207.0953034,203.0887123,188.9637947,195.5686506,204.3672048,184.487387,183.5035142,168.0705644,145.0048188
YNL244C,436.2948238,365.8887157,420.8784162,497.2902428,535.933883,519.0584726,486.5521566,448.6127613,410.5655245,490.4138691,436.8368413,426.6770057,358.1655501,355.8387084,436.6492669,368.5230886,389.2350858,369.2667393,389.5919061,345.1265047,328.9758455,333.0170483,338.4330394,345.2425932
YNL241C,1595.362069,1604.75053,1567.657624,1439.689423,1016.735036,1013.793325,1049.196709,1011.976903,1073.081095,1133.992657,1659.399876,1589.062197,1608.826053,1551.736876,1553.055344,1456.645786,1154.63488,1219.92923,1240.050393,1179.161075,1400.564817,1541.610773,1589.25243,1447.304458
YNL240C,313.1536669,302.1300169,326.7230973,319.7714048,240.7295887,220.7390471,197.2855029,196.3058295,213.8756309,232.3450054,332.5620861,333.085053,254.0761108,266.1911797,295.5980228,256.1543621,274.0222013,270.6085012,235.8578992,217.3305832,233.6916146,259.9124393,286.4480342,273.2593391
YNL231C,785.4770882,844.7958141,788.0274527,765.5517604,748.5200705,790.7619559,733.3706941,711.9033771,681.4387629,655.2680148,732.356111,713.3758852,778.612312,831.5475167,823.7596328,815.995697,739.6210104,846.3157434,702.4129916,697.6040681,741.6009298,652.9026243,795.9129227,851.6032989
YNL230C,111.1166696,90.34182876,123.3666774,119.8210299,108.8175296,119.263099,96.70686983,98.59474958,96.35399736,115.9240816,109.7297783,134.9766027,124.3725299,98.98701863,141.306879,131.7265872,110.8665235,110.1487464,102.6922322,103.8212058,103.2242715,123.8754341,104.699018,101.5617654
YNL227C,38.61907492,32.49651349,30.83945046,44.3858867,40.64561524,35.56915873,34.90154615,29.05761723,52.49641612,47.62080123,52.49304664,43.30922858,47.80262724,57.18242547,65.08636476,48.57263054,35.4785465,33.4702864,44.63844662,48.8176247,52.19969789,43.9908506,55.43603513,37.37459959
YNL225C,64.96357002,55.39494657,54.7609235,59.69403187,49.49016875,50.32325747,50.0574849,48.79532415,63.38327107,54.45355637,73.7948215,71.14394834,98.72630058,92.18302795,104.567866,96.29070766,98.26263457,91.14490704,80.15815905,88.76943208,76.92224309,100.7594243,99.41670371,91.49181139
YNL224C,116.5525948,130.2357171,132.5980793,129.8087293,117.0215784,100.3817662,98.54547026,106.0801194,123.8168732,108.0138262,123.4943946,129.9822606,123.5861175,146.9370541,133.9648764,134.911297,113.8126741,125.6777595,118.4774054,94.77598789,121.282694,117.6834309,125.6821927,134.0404708
YNL221C,584.8281309,553.6264707,654.7855425,711.6750767,844.0846361,799.1238032,734.4325935,785.6783073,703.984472,697.9077138,678.9598621,725.8354864,728.08163,635.4792207,751.1895524,774.8510573,839.4717652,790.4204567,743.8071996,756.4364266,761.3115947,770.0422535,672.2429289,666.5658349
YNL219C,183.1910183,194.1013531,211.3901601,207.4838468,165.8068901,173.5479063,167.1004372,200.1561279,173.6051473,171.1745265,183.6260014,203.2299552,195.7268044,219.6485149,201.1692306,214.8081244,195.6183472,197.1651486,187.8014251,154.370802,190.343413,162.8243838,178.9573741,208.0622939
YNL213C,262.4027905,282.3396713,230.1125684,254.5601911,299.057306,274.7554034,266.8580905,306.5912245,263.5790088,278.9688327,297.8422672,258.3492946,245.8376966,210.1362105,290.6724439,236.9539255,269.6160523,252.763564,297.4359828,263.2010716,214.0012315,243.6147279,193.351666,245.3611991
YNL211C,59.60472644,55.99915378,51.48586313,49.88063098,75.90993187,71.92101526,66.5011495,80.17065761,67.01534618,71.4668608,77.91729267,77.62527299,55.14912121,55.45696957,68.00707597,66.14551705,79.14538535,53.64162771,48.82541014,58.64789363,55.45168752,61.07427833,40.99516891,57.4055976
YNL206C,200.4512067,163.5284419,233.9843987,226.7679738,217.1688018,231.7772849,207.0313389,195.686728,212.6795925,200.6445445,202.6850213,185.1299678,215.3301748,206.9458344,198.5175268,157.68603,180.8102444,169.5737012,169.8667312,179.5447592,211.4842485,196.4646051,151.3968252,191.3351377
YNL205C,47.89023556,39.34600232,47.8217557,34.04403491,34.47722158,31.02079197,48.94209522,52.94025883,53.52273856,55.92156056,40.03657932,50.51705965,43.86480212,37.80823451,50.14862558,42.30029503,49.82039258,39.84215227,36.86881292,40.90387815,55.03213144,41.27202675,42.08772501,57.89813125
YNL204C,103.8363619,88.10418688,108.7543882,83.22956865,65.30987746,67.91302277,82.81889448,82.02902238,104.2391215,109.6129932,83.74921456,82.89990582,85.40682752,93.56846651,81.23252787,64.1101742,99.65269837,89.0648687,104.4917007,87.70172619,111.7148669,88.55062095,92.5522383,101.0446475
YNL203C,103.8363619,88.10418688,108.7543882,83.22956865,65.30987746,67.91302277,82.81889448,82.02902238,104.2391215,109.6129932,83.74921456,82.89990582,85.40682752,93.56846651,81.23252787,64.1101742,99.65269837,89.0648687,104.4917007,87.70172619,111.7148669,88.55062095,92.5522383,101.0446475
YNL201C,123.6196374,106.2950574,139.4220184,116.3269067,104.7016345,108.3881739,72.00288085,84.26769497,96.42056976,95.12503191,99.05534902,126.1855472,83.87608136,93.2609007,100.8581335,129.6864905,109.2910259,117.732567,119.9085127,93.30918066,86.81966558,108.9131895,76.36474364,101.0080836
